507,5300,445,8314,3900
1007,20600,895,19452,12038
5007,503000,4495,130047,215934
10007,2006000,8995,288606,811631
20007,8012000,17995,630977,3132775
30007,18018000,26995,1011610,6955027
40007,32024000,35995,1391375,12284563
50007,50030000,44995,1795381,19108159
75007,112545000,67495,2815947,42744714
100007,200060000,89995,3878423,75763831
164,5925,13920,6506,4076
314,23100,55345,15870,12390
1514,565500,1376745,110513,216954
3014,2256000,5503495,248399,813671
6014,9012000,22006995,555927,3136855
9014,20268000,49510495,882075,6968659
12014,36024000,88013995,1226356,12292723
15014,56280000,137517495,1579659,19132591
22514,126607500,309401245,2490407,42779714
30014,225060000,550034995,3439438,75812695
164,5300,445,2025,4076
314,20600,895,4050,12390
1514,503000,4495,20250,216954
3014,2006000,8995,40500,813671
6014,8012000,17995,81000,3136855
9014,18018000,26995,121500,6968659
12014,32024000,35995,162000,12292723
15014,50030000,44995,202500,19132591
22514,112545000,67495,303750,42779714
30014,200060000,89995,405000,75812695
